word,western,fantasy,scifi,detective,romance
said,1.0,1.0,0.999,1.0,1.0
one,0.999,0.998,0.998,0.999,0.997
would,0.998,0.997,0.997,0.998,0.998
man,0.997,0.994,0.995,0.996,0.991
could,0.996,0.995,0.996,0.995,0.996
like,0.995,0.987,0.994,0.99,0.988
back,0.994,0.969,0.992,0.989,0.971
little,0.993,0.996,0.985,0.991,0.992
time,0.992,0.986,0.993,0.992,0.989
know,0.991,0.974,0.988,0.994,0.987
see,0.99,0.985,0.986,0.993,0.966
eyes,0.989,0.959,0.977,0.966,0.951
two,0.988,0.97,0.987,0.985,0.975
come,0.987,0.981,0.973,0.984,0.0
men,0.986,0.938,0.95,0.951,0.883
came,0.985,0.991,0.983,0.983,0.0
go,0.984,0.978,0.971,0.982,0.857
way,0.983,0.967,0.982,0.979,0.976
old,0.982,0.983,0.935,0.974,0.977
well,0.981,0.971,0.976,0.988,0.983
get,0.98,0.912,0.984,0.975,0.0
upon,0.979,0.992,0.98,0.987,0.985
got,0.978,0.357,0.961,0.936,0.582
made,0.977,0.975,0.978,0.976,0.98
face,0.976,0.907,0.958,0.964,0.0
good,0.975,0.965,0.951,0.961,0.0
right,0.974,0.879,0.969,0.944,0.524
away,0.973,0.967,0.965,0.959,0.0
long,0.972,0.963,0.972,0.943,0.967
never,0.971,0.964,0.955,0.968,0.984
hand,0.97,0.947,0.956,0.956,0.938
went,0.969,0.984,0.962,0.97,0.0
us,0.968,0.973,0.991,0.978,0.981
first,0.967,0.955,0.979,0.957,0.97
say,0.966,0.949,0.92,0.972,0.978
de,0.977,0.999,1.0,0.997,0.999
much,0.964,0.958,0.959,0.962,0.979
head,0.963,0.953,0.947,0.917,0.0
looked,0.962,0.941,0.968,0.952,0.0
day,0.961,0.977,0.907,0.923,0.0
take,0.96,0.943,0.948,0.946,0.96
make,0.959,0.937,0.953,0.95,0.0
must,0.958,0.966,0.967,0.978,0.981
might,0.957,0.94,0.96,0.96,0.973
think,0.956,0.919,0.966,0.98,0.974
even,0.955,0.934,0.981,0.942,0.968
saw,0.954,0.968,0.952,0.948,0.0
last,0.953,0.945,0.941,0.945,0.0
thought,0.952,0.951,0.964,0.955,0.972
girl,0.951,0.853,0.673,0.919,0.0
tell,0.95,0.936,0.904,0.965,0.746
still,0.949,0.939,0.97,0.927,0.961
knew,0.948,0.892,0.929,0.928,0.0
going,0.947,0.0,0.949,0.94,0.0
night,0.946,0.95,0.88,0.939,0.834
look,0.962,0.941,0.968,0.952,0.0
turned,0.944,0.877,0.942,0.916,0.0
horse,0.943,0.0,0.0,0.0,0.831
seemed,0.942,0.887,0.946,0.934,0.0
let,0.941,0.932,0.925,0.922,0.9
left,0.94,0.909,0.922,0.935,0.945
without,0.939,0.927,0.93,0.92,0.955
great,0.938,0.982,0.963,0.918,0.969
young,0.937,0.908,0.054,0.929,0.0
life,0.936,0.914,0.923,0.906,0.0
asked,0.935,0.0,0.934,0.973,0.0
want,0.934,0.817,0.0,0.913,0.0
moment,0.933,0.871,0.939,0.951,0.0
told,0.932,0.921,0.894,0.931,0.0
yet,0.931,0.913,0.91,0.914,0.957
another,0.93,0.906,0.945,0.908,0.0
ja,0.929,0.988,0.974,0.812,0.982
something,0.928,0.856,0.957,0.938,0.0
took,0.927,0.956,0.914,0.925,0.947
door,0.926,0.928,0.943,0.967,0.0
every,0.925,0.929,0.918,0.898,0.95
found,0.924,0.948,0.924,0.949,0.944
voice,0.923,0.867,0.912,0.891,0.0
heard,0.922,0.942,0.878,0.915,0.0
place,0.921,0.918,0.909,0.932,0.941
hands,0.92,0.863,0.882,0.878,0.938
though,0.952,0.951,0.964,0.955,0.972
ever,0.971,0.964,0.955,0.968,0.984
nothing,0.917,0.923,0.94,0.947,0.959
enough,0.916,0.846,0.911,0.897,0.0
around,0.915,0.757,0.938,0.0,0.0
put,0.914,0.922,0.893,0.911,0.0
side,0.913,0.862,0.892,0.876,0.833
thing,0.928,0.923,0.957,0.947,0.959
three,0.911,0.916,0.928,0.883,0.925
stood,0.91,0.894,0.886,0.869,0.817
father,0.909,0.925,0.722,0.895,0.927
far,0.908,0.881,0.906,0.865,0.93
new,0.948,0.892,0.931,0.928,0.935
big,0.906,0.0,0.847,0.774,0.0
ai,1.0,1.0,0.999,1.0,1.0
many,0.904,0.93,0.891,0.867,0.94
along,0.903,0.801,0.863,0.841,0.0
seen,0.902,0.883,0.874,0.888,0.0
white,0.901,0.87,0.843,0.0,0.0
woman,0.9,0.905,0.645,0.924,0.0
give,0.899,0.91,0.87,0.899,0.899
trail,0.898,0.0,0.0,0.0,0.0
house,0.897,0.924,0.808,0.958,0.0
things,0.896,0.875,0.9,0.88,0.0
sure,0.895,0.785,0.871,0.887,0.0
toward,0.894,0.724,0.883,0.629,0.887
yes,0.989,0.959,0.977,0.966,0.951
heart,0.892,0.897,0.737,0.814,0.0
may,0.891,0.952,0.901,0.953,0.963
behind,0.89,0.824,0.881,0.83,0.0
better,0.889,0.828,0.866,0.863,0.0
feet,0.888,0.839,0.908,0.787,0.0
work,0.887,0.811,0.903,0.858,0.0
mind,0.886,0.844,0.905,0.901,0.873
felt,0.885,0.812,0.879,0.856,0.0
find,0.884,0.888,0.885,0.91,0.931
done,0.883,0.864,0.856,0.87,0.0
room,0.882,0.85,0.926,0.969,0.0
oh,0.881,0.855,0.827,0.892,0.901
water,0.88,0.895,0.875,0.0,0.0
jack,0.879,0.633,0.409,0.666,0.815
horses,0.878,0.0,0.0,0.0,0.0
en,0.986,0.989,0.989,0.97,0.99
began,0.876,0.904,0.889,0.85,0.0
always,0.875,0.857,0.849,0.86,0.0
half,0.874,0.744,0.861,0.832,0.283
gone,0.873,0.821,0.837,0.851,0.0
almost,0.872,0.767,0.897,0.879,0.934
across,0.871,0.0,0.864,0.788,0.0
home,0.87,0.901,0.779,0.857,0.0
soon,0.869,0.902,0.853,0.852,0.921
keep,0.868,0.768,0.844,0.84,0.0
gave,0.867,0.898,0.848,0.859,0.928
fire,0.866,0.794,0.768,0.0,0.0
light,0.865,0.842,0.919,0.871,0.0
ca,0.985,0.991,0.983,0.983,0.913
anything,0.863,0.769,0.877,0.896,0.0
boy,0.862,0.861,0.616,0.702,0.85
red,0.861,0.781,0.857,0.881,0.793
camp,0.86,0.0,0.0,0.0,0.0
country,0.859,0.0,0.671,0.64,0.882
days,0.858,0.845,0.835,0.805,0.0
morning,0.857,0.859,0.765,0.874,0.0
called,0.856,0.878,0.833,0.846,0.913
boys,0.855,0.0,0.0,0.702,0.0
black,0.854,0.826,0.838,0.766,0.855
set,0.853,0.0,0.862,0.797,0.0
years,0.852,0.832,0.89,0.839,0.922
next,0.851,0.848,0.841,0.848,0.0
words,0.85,0.858,0.0,0.843,0.933
course,0.849,0.788,0.902,0.9,0.36
word,0.85,0.858,0.748,0.843,0.933
miss,0.847,0.0,0.537,0.941,0.962
replied,0.846,0.89,0.807,0.893,0.0
open,0.845,0.806,0.859,0.853,0.0
lay,0.844,0.854,0.798,0.729,0.812
looking,0.843,0.798,0.818,0.844,0.0
name,0.842,0.83,0.805,0.886,0.924
brought,0.841,0.866,0.812,0.826,0.914
sat,0.84,0.873,0.829,0.81,0.0
held,0.839,0.726,0.823,0.776,0.0
suddenly,0.838,0.755,0.869,0.0,0.0
love,0.837,0.885,0.75,0.806,0.949
near,0.836,0.819,0.784,0.764,0.894
hard,0.835,0.7,0.73,0.693,0.786
end,0.834,0.847,0.868,0.855,0.504
people,0.833,0.915,0.936,0.847,0.939
coming,0.832,0.0,0.79,0.791,0.0
since,0.831,0.797,0.86,0.836,0.923
passed,0.83,0.81,0.817,0.809,0.905
money,0.829,0.0,0.0,0.872,0.0
cried,0.828,0.0,0.0,0.875,0.0
town,0.827,0.601,0.0,0.651,0.264
shall,0.826,0.96,0.858,0.909,0.964
rode,0.825,0.0,0.0,0.0,0.509
close,0.824,0.687,0.795,0.0,0.0
talk,0.823,0.0,0.703,0.76,0.0
la,0.953,0.993,0.99,0.986,0.995
friend,0.821,0.758,0.655,0.855,0.0
alone,0.82,0.761,0.749,0.779,0.0
among,0.819,0.807,0.755,0.606,0.895
world,0.818,0.889,0.933,0.78,0.0
answered,0.817,0.0,0.745,0.881,0.0
quite,0.816,0.886,0.855,0.902,0.0
part,0.815,0.786,0.854,0.828,0.918
ground,0.814,0.792,0.802,0.577,0.0
perhaps,0.813,0.743,0.852,0.866,0.932
hear,0.922,0.942,0.878,0.915,0.0
help,0.811,0.774,0.803,0.829,0.0
dead,0.81,0.8,0.809,0.796,0.0
followed,0.809,0.714,0.734,0.771,0.0
dark,0.808,0.734,0.811,0.778,0.0
full,0.807,0.827,0.815,0.741,0.0
matter,0.806,0.736,0.839,0.862,0.0
run,0.805,0.63,0.67,0.653,0.162
best,0.804,0.766,0.727,0.777,0.915
returned,0.803,0.0,0.668,0.799,0.0
hour,0.802,0.654,0.801,0.82,0.0
mean,0.801,0.628,0.82,0.842,0.869
others,0.8,0.75,0.845,0.0,0.0
lost,0.799,0.748,0.738,0.744,0.0
reached,0.798,0.78,0.81,0.703,0.0
wo,0.998,0.997,0.997,0.998,0.998
ride,0.796,0.327,0.0,0.0,0.0
kind,0.795,0.772,0.791,0.72,0.0
