,id
72,PG10066
137,PG10124
165,PG1014
236,PG10213
309,PG1027
359,PG10324
412,PG10372
414,PG10374
448,PG10404
524,PG10473
667,PG10601
813,PG10736
978,PG10886
982,PG1088
1030,PG10932
1060,PG1095
1209,PG11093
1663,PG11501
1699,PG11534
2083,PG11880
2094,PG11890
2172,PG11960
2272,PG1204
2294,PG1206
2371,PG12139
2425,PG12189
2429,PG12192
2516,PG12270
2528,PG12281
2646,PG12388
2681,PG12419
2700,PG12436
2765,PG12495
2848,PG12570
2914,PG1262
2951,PG12663
3093,PG12791
3099,PG12797
3313,PG1298
3324,PG1299
3337,PG1300
3411,PG13077
3469,PG1312
3475,PG13135
3540,PG13194
3775,PG13405
4069,PG13670
4112,PG13709
4121,PG13717
4279,PG1385
4335,PG1390
4365,PG13937
4530,PG14085
4626,PG14171
4807,PG14334
4822,PG14348
4838,PG14362
4853,PG14376
4942,PG14456
4971,PG14482
4975,PG14486
5014,PG14520
5038,PG14542
5041,PG14545
5073,PG14574
5162,PG14654
5373,PG14844
5414,PG14881
5438,PG14902
5502,PG14960
5711,PG15148
5723,PG15159
5851,PG15274
5911,PG15328
6033,PG15438
6105,PG15502
6149,PG15542
6183,PG15573
6191,PG15580
6194,PG15583
6241,PG15625
6623,PG1596
6851,PG16174
7029,PG16334
7245,PG16530
7268,PG16551
7309,PG16589
7318,PG16597
7331,PG16608
7354,PG16629
7404,PG16674
7518,PG16777
7612,PG16861
7622,PG16870
7623,PG16871
7642,PG16889
7738,PG16976
7814,PG17043
7839,PG17066
7994,PG17205
8032,PG1723
8220,PG1740
8229,PG17418
8294,PG17477
8428,PG17598
8447,PG17614
8483,PG17647
8700,PG17844
8851,PG17981
8917,PG1803
8983,PG1809
9040,PG18150
9215,PG18309
9263,PG18352
9392,PG1846
9495,PG18563
9766,PG1880
9777,PG1881
9788,PG1882
9817,PG18856
9883,PG18916
9894,PG18926
9902,PG18933
9921,PG18950
9936,PG18964
9953,PG1897
9990,PG19012
9994,PG19016
10002,PG19023
10005,PG19026
10037,PG19055
10064,PG1907
10068,PG19083
10075,PG1908
10109,PG19120
10118,PG19129
10158,PG19166
